year,month,logcpi,logip,ff,gs1,gs2,cm5yr,cm10yr,cm5f5,ebp,mortg_spread_m,cp3m_spread_m,ff_exp1yr
1995,10,503.3701,428.1811,5.76,5.59,5.7,5.8628571,6.0447619,6.226666,-.178842,1.44,.4250001,5.454834
1995,11,503.5003,428.4396,5.8,5.43,5.48,5.6942857,5.9304762,6.166667,-.095936,1.45,.2649998,5.372
1995,12,503.6303,428.8258,5.6,5.31,5.32,5.5135,5.7115,5.9095,-.087709,1.49,.3850002,5.17449
1996,1,504.1488,428.1644,5.56,5.09,5.11,5.362381,5.652381,5.942381,-.116741,1.38,.2850003,5.068458
1996,2,504.3425,429.747,5.22,4.94,5.03,5.3795,5.8055,6.2315,-.330019,1.27,.2050003,4.919714
1996,3,504.6646,429.5916,5.31,5.34,5.66,5.9661905,6.2685714,6.570952,-.340443,1.35,.2350001,5.028598
1996,4,505.0497,430.4256,5.22,5.54,5.96,6.3009091,6.5113636,6.721818,-.294273,1.42,.3250002,5.164944
1996,5,505.2417,431.1198,5.24,5.64,6.1,6.4831818,6.7368182,6.990455,-.327362,1.33,.2550001,5.220153
1996,6,505.4333,432.0053,5.27,5.81,6.3,6.6895,6.912,7.1345,-.303977,1.41,.2849998,5.412755
1996,7,505.6246,431.873,5.4,5.85,6.27,6.6359091,6.8654545,7.095,-.373247,1.38,.2650003,5.521122
1996,8,505.7519,432.5219,5.22,5.67,6.03,6.3890909,6.6354545,6.881818,-.436534,1.36,.2550001,5.441871
1996,9,506.0695,433.0516,5.3,5.83,6.23,6.597,6.832,7.067,-.424425,1.4,.315,5.474713
1996,10,506.386,433.0558,5.24,5.55,5.91,6.2704545,6.5336364,6.796818,-.381406,1.39,.3250002,5.39557
1996,11,506.7016,433.8742,5.31,5.42,5.7,5.9731579,6.2036842,6.434211,-.349662,1.42,.2649998,5.286143
1996,12,506.9533,434.5137,5.29,5.47,5.78,6.0680952,6.302381,6.536667,-.442943,1.3,.4850006,5.290816
1997,1,507.1417,434.627,5.25,5.61,6.01,6.3333333,6.5790476,6.824762,-.350262,1.24,.3049998,5.333718
1997,2,507.3297,435.8319,5.19,5.53,5.9,6.1989474,6.4194737,6.64,-.485871,1.23,.2849999,5.338194
1997,3,507.3923,436.5974,5.39,5.8,6.22,6.537,6.6945,6.852,-.512084,1.21,.2950002,5.665662
1997,4,507.4549,436.6422,5.51,5.99,6.45,6.7590909,6.8854545,7.011818,-.438469,1.25,.4400002,5.790185
1997,5,507.4549,437.3299,5.5,5.87,6.28,6.567619,6.7109524,6.854286,-.436481,1.23,.5399999,5.719468
1997,6,507.6423,437.7813,5.56,5.69,6.09,6.3752381,6.4938095,6.612381,-.50729,1.2,.6250003,5.678192
1997,7,507.7671,438.3895,5.52,5.54,5.89,6.1209091,6.2204545,6.32,-.525862,1.28,.44,5.648085
1997,8,508.0161,439.7059,5.54,5.56,5.94,6.16,6.2985714,6.437143,-.501028,1.18,.3400002,5.654965
1997,9,508.2646,440.5731,5.54,5.52,5.88,6.1061905,6.2085714,6.310952,-.599141,1.22,.5300003,5.664583
1997,10,508.4505,441.2547,5.5,5.46,5.77,5.9281818,6.0295455,6.130909,-.47386,1.26,.5400003,5.669514
1997,11,508.5743,442.1395,5.52,5.46,5.71,5.8038889,5.875,5.946111,-.396917,1.33,.4600002,5.575993
1997,12,508.6361,442.4941,5.5,5.53,5.72,5.7731818,5.8086364,5.844091,-.453156,1.29,.5100002,5.504445
1998,1,508.7596,442.9876,5.56,5.24,5.36,5.416,5.5445,5.673,-.374018,1.45,.3800001,5.43301
1998,2,508.7596,443.0764,5.51,5.31,5.42,5.4926316,5.5747368,5.656842,-.353293,1.47,.3299999,5.422957
1998,3,508.7596,443.1419,5.49,5.39,5.56,5.6118182,5.6472727,5.682727,-.402522,1.48,.4299998,5.426182
1998,4,508.883,443.5221,5.45,5.38,5.56,5.6119048,5.637619,5.663333,-.476149,1.5,.5100002,5.425
1998,5,509.1293,444.1902,5.49,5.44,5.59,5.628,5.6525,5.677,-.435831,1.49,.48,5.465996
1998,6,509.2523,443.6049,5.56,5.41,5.52,5.5240909,5.4963636,5.468637,-.421874,1.5,.5,5.44948
1998,7,509.4977,443.179,5.54,5.36,5.46,5.4613636,5.4613636,5.461364,-.385605,1.49,.52,4.035514
1998,8,509.6201,445.2782,5.55,5.21,5.27,5.2747619,5.3419048,5.409048,-.040715,1.58,.58,5.388595
1998,9,509.6813,444.9563,5.51,4.71,4.67,4.6238095,4.8066667,4.989524,-.103384,1.91,.6999999,5.111667
1998,10,509.9257,445.7471,5.07,4.12,4.09,4.1842857,4.53,4.875714,.000441,2.18,1.08,4.542543
1998,11,510.0476,445.6595,4.83,4.53,4.54,4.5373684,4.8273684,5.117368,.02907,2.04,.6500002,4.514548
1998,12,510.2303,446.0135,4.68,4.52,4.51,4.45,4.645,4.84,-.106692,2.07,.6100002,4.507979
1999,1,510.4126,446.4603,4.63,4.51,4.62,4.6005263,4.7221053,4.843684,-.124938,2.07,.4299999,4.570561
1999,2,510.4126,446.893,4.76,4.7,4.88,4.9147368,4.9989474,5.083158,-.352341,1.81,.35,4.703714
1999,3,510.4733,447.1072,4.81,4.78,5.05,5.1404348,5.2326087,5.324782,-.275318,1.81,.37,4.725
1999,4,511.1385,447.338,4.74,4.69,4.98,5.0795455,5.1845455,5.289546,-.279516,1.74,.5000001,4.737639
1999,5,511.1988,448.078,4.74,4.85,5.25,5.437,5.5395,5.642,-.279658,1.61,.3100001,4.832979
1999,6,511.1988,447.8864,4.76,5.1,5.62,5.8090909,5.8995455,5.99,-.213867,1.65,.4099998,5.096465
1999,7,511.6196,448.5621,4.99,5.03,5.55,5.6785714,5.7919048,5.905238,-.148228,1.84,.5599999,5.138958
1999,8,511.8593,448.9807,5.07,5.2,5.68,5.8413636,5.9390909,6.036818,-.147479,2,.5300003,5.229025
1999,9,512.2773,448.7011,5.22,5.25,5.66,5.8019048,5.9152381,6.028572,-.004159,1.9,.6400002,5.326365
1999,10,512.4559,449.9721,5.2,5.43,5.86,6.0335,6.112,6.1905,-.040454,1.74,1.02,5.465379
1999,11,512.6342,450.4709,5.42,5.55,5.86,5.969,6.034,6.099,-.078502,1.71,.7399999,5.585486
1999,12,512.8715,451.2643,5.3,5.84,6.1,6.1863636,6.2754545,6.364545,-.312901,1.63,.6700003,5.784575
2000,1,513.1672,451.3419,5.45,6.12,6.44,6.5795,6.661,6.7425,-.12087,1.55,.4199999,6.001281
2000,2,513.5798,451.7194,5.73,6.22,6.61,6.678,6.5195,6.361,-.10413,1.81,.3199999,6.182503
2000,3,514.1664,452.1182,5.85,6.22,6.53,6.503913,6.2565217,6.00913,.153359,1.98,.31,6.366689
2000,4,514.1078,452.7427,6.02,6.15,6.4,6.2626316,5.9905263,5.718421,.329846,2.16,.4500002,6.482311
2000,5,514.2833,452.8928,6.27,6.33,6.81,6.6877273,6.4404545,6.193182,.498835,2.08,.7500001,6.803242
2000,6,514.8657,452.9504,6.53,6.17,6.48,6.3009091,6.0972727,5.893636,.54953,2.19,.88,6.777113
2000,7,515.1556,452.7191,6.54,6.08,6.34,6.179,6.054,5.929,.607972,2.099999,.56,6.708723
2000,8,515.1556,452.4523,6.5,6.18,6.23,6.0608696,5.826087,5.591304,.76418,2.2,.3999999,6.575548
2000,9,515.6754,452.9374,6.52,6.13,6.08,5.9345,5.799,5.6635,.816644,2.11,.47,6.518478
2000,10,515.848,452.4865,6.51,6.01,5.91,5.7828571,5.7385714,5.694286,1.252061,2.06,.3999999,6.462754
2000,11,516.0204,452.4742,6.51,6.09,5.88,5.697619,5.7171429,5.736667,1.288705,2.03,.33,6.388116
2000,12,516.2498,452.1549,6.4,5.6,5.35,5.168,5.2405,5.313,1.360387,2.14,.5700001,5.998682
2001,1,516.8209,451.4333,5.98,4.81,4.76,4.8585714,5.1609524,5.463333,.9097,1.87,.34,5.321197
2001,2,517.0484,450.8291,5.49,4.68,4.66,4.8863158,5.0989474,5.311579,.935115,1.95,.2599999,4.930202
2001,3,517.1052,450.5573,5.31,4.3,4.34,4.6427273,4.8854545,5.128182,.973143,2.06,.36,4.430419
2001,4,517.2754,450.2787,4.8,3.98,4.23,4.7635,5.141,5.5185,.772219,1.94,.5700002,4.109996
2001,5,517.7843,449.5496,4.21,3.78,4.26,4.9277273,5.3913636,5.855,.686657,1.76,.3100002,3.8464
2001,6,518.0096,448.879,3.97,3.58,4.08,4.8071429,5.2842857,5.761428,.976032,1.88,.18,3.588315
2001,7,517.8407,448.4373,3.77,3.62,4.04,4.7619048,5.2361905,5.710476,.563165,1.89,.08,3.573085
2001,8,517.8407,448.1802,3.65,3.47,3.76,4.573913,4.9713043,5.368696,.60858,1.98,.0600002,3.473478
2001,9,518.2345,447.8535,3.07,2.82,3.12,4.1152941,4.7317647,5.348235,.998345,2.09,.17,2.481628
2001,10,517.9534,447.3623,2.49,2.33,2.73,3.91,4.5668182,5.223636,.865248,2.05,.1199999,2.346409
2001,11,517.897,446.8214,2.09,2.18,2.78,3.9725,4.6515,5.3305,-.427836,2.01,.1,2.143732
2001,12,517.8407,446.8461,1.82,2.22,3.11,4.3895,5.0875,5.7855,.359763,1.98,.09,1.97949
2002,1,518.0096,447.4606,1.73,2.16,3.03,4.34,5.0357143,5.731429,.500767,1.96,.0500001,2.100399
2002,2,518.1783,447.4206,1.74,2.23,3.02,4.2984211,4.9115789,5.524737,.71221,1.98,.06,2.190374
2002,3,518.4589,448.1587,1.73,2.57,3.56,4.738,5.284,5.83,.266711,1.73,.0700001,2.43877
2002,4,518.9061,448.5763,1.75,2.48,3.42,4.6468182,5.2109091,5.775,.385478,1.78,.09,2.532854
2002,5,519.0175,449.091,1.75,2.35,3.26,4.4945455,5.1645455,5.834546,.414249,1.65,.05,2.564531
2002,6,519.0732,450.0637,1.75,2.2,2.99,4.186,4.9265,5.667,.751762,1.72,.06,2.393929
2002,7,519.2957,449.7277,1.73,1.96,2.56,3.8072727,4.6531818,5.499091,1.168366,1.84,.0700001,2.164948
2002,8,519.5731,449.8651,1.74,1.76,2.13,3.2945455,4.2572727,5.22,1.19177,2.03,.08,2.04559
2002,9,519.7391,449.9171,1.75,1.72,2,2.938,3.87,4.802,1.305279,2.22,.09,1.987031
2002,10,519.9601,449.5853,1.75,1.65,1.91,2.945,3.9409091,4.936818,1.110808,2.17,.12,1.909878
2002,11,520.1255,450.1314,1.34,1.49,1.92,3.0547368,4.0484211,5.042105,.784568,2.02,.13,1.550944
2002,12,520.2907,449.6793,1.24,1.45,1.84,3.0333333,4.032381,5.031429,.661981,2.02,.12,1.528298
2003,1,520.7298,450.3762,1.24,1.36,1.74,3.052381,4.0485714,5.044762,.589204,1.87,.0900001,1.492563
2003,2,521.2759,450.7451,1.26,1.3,1.63,2.8978947,3.9026316,4.907368,.394674,1.94,.0900001,1.495378
2003,3,521.4392,450.5461,1.25,1.24,1.57,2.7838095,3.8071429,4.830476,-.153522,1.94,.0600001,1.40438
2003,4,521.0579,449.7249,1.26,1.27,1.62,2.9285714,3.9585714,4.988571,-.138374,1.85,.0700001,1.443165
2003,5,520.894,449.7112,1.26,1.18,1.42,2.5157143,3.5690476,4.622381,-.854259,1.91,.12,1.299447
2003,6,521.0032,449.7197,1.22,1.01,1.23,2.2657143,3.3342857,4.402857,-.561209,1.9,.09,1.106383
2003,7,521.3304,450.0717,1.01,1.12,1.47,2.8722727,3.9754545,5.078636,-1.32735,1.65,.1100001,1.103864
2003,8,521.765,449.9524,1.03,1.31,1.86,3.37,4.4452381,5.520476,-.225067,1.81,.0900001,1.153723
2003,9,522.0896,450.5585,1.01,1.24,1.71,3.1847619,4.2742857,5.36381,-.694795,1.88,.1000001,1.167766
2003,10,521.9815,450.5222,1.01,1.25,1.75,3.1859091,4.2904545,5.395,-.543412,1.66,.13,1.218528
2003,11,522.0356,451.2759,1,1.34,1.93,3.2872222,4.3,5.312778,-.540053,1.63,.1300001,1.277872
2003,12,522.3055,451.1935,.98,1.31,1.91,3.2686364,4.2677273,5.266818,-.49322,1.61,.1500001,1.323152
2004,1,522.7358,451.4847,1,1.24,1.76,3.1215,4.1505,5.1795,-.711418,1.59,.1300001,1.366438
2004,2,522.9503,452.0488,1.01,1.24,1.74,3.0678947,4.0842105,5.100526,-.286728,1.56,.08,1.366056
2004,3,523.1643,451.5114,1,1.19,1.58,2.7869565,3.8265217,4.866087,-.533865,1.62,.0600001,1.245267
2004,4,523.3245,451.918,1,1.43,2.07,3.3895238,4.347619,5.305714,-.740573,1.48,.11,1.509727
2004,5,523.7505,452.6421,1,1.78,2.53,3.8505,4.7155,5.5805,-.323436,1.55,.0500001,1.806241
2004,6,524.1218,451.8477,1.03,2.12,2.76,3.9290476,4.7338095,5.538571,-.333673,1.56,.0700001,2.039294
2004,7,524.2276,452.628,1.26,2.1,2.64,3.6885714,4.4980952,5.307619,-.306482,1.56,.17,2.240254
2004,8,524.2805,452.8055,1.43,2.02,2.51,3.4745455,4.2813636,5.088182,-.461368,1.59,.14,2.343641
2004,9,524.5971,452.8458,1.61,2.12,2.53,3.3552381,4.1257143,4.896191,-.598777,1.62,.1000001,2.479545
2004,10,525.1226,453.7961,1.76,2.23,2.58,3.3475,4.097,4.8465,-.574809,1.62,.1900001,2.556833
2004,11,525.5931,453.9955,1.93,2.5,2.85,3.525,4.194,4.863,-.701047,1.54,.1100001,2.77029
2004,12,525.5931,454.6688,2.16,2.67,3.01,3.5981818,4.2309091,4.863636,-.85373,1.52,.15,2.978138
2005,1,525.541,455.0793,2.28,2.86,3.22,3.707,4.2215,4.736,-.806862,1.49,.2000001,3.174432
2005,2,525.9576,455.7046,2.5,3.03,3.38,3.7663158,4.1652632,4.56421,-1.09208,1.46,.1350001,3.289939
2005,3,526.3208,455.6424,2.63,3.3,3.73,4.1654545,4.4977273,4.83,-.730689,1.43,.08,3.492654
2005,4,526.631,455.7303,2.79,3.32,3.65,3.9985714,4.3409524,4.683333,-.53511,1.52,.1900001,3.630369
2005,5,526.5794,455.9126,3,3.33,3.64,3.8528571,4.1442857,4.435714,-.386019,1.58,.2500001,3.719716
2005,6,526.631,456.3306,3.04,3.36,3.64,3.7722727,3.9981818,4.224091,-.564386,1.58,.3,3.79535
2005,7,527.2487,456.1933,3.26,3.64,3.87,3.979,4.1775,4.376,-.653742,1.52,.25,3.947398
2005,8,527.8625,456.3185,3.5,3.87,4.04,4.1221739,4.2626087,4.403043,-.721005,1.56,.2,4.15165
2005,9,529.2299,454.3458,3.62,3.85,3.95,4.0061905,4.1990476,4.391905,-.555723,1.57,.3,4.23405
2005,10,529.3807,455.5812,3.78,4.18,4.27,4.3285,4.4635,4.5985,-.455134,1.61,.3,4.44551
2005,11,528.8772,456.5519,4,4.33,4.42,4.4525,4.535,4.6175,-.386568,1.79,.3499999,4.542533
2005,12,528.8772,457.1202,4.16,4.35,4.4,4.392381,4.4671429,4.541905,-.394374,1.8,.4466666,4.6628
2006,1,529.4811,457.2172,4.29,4.45,4.4,4.3455,4.416,4.4865,-.457407,1.73,.2033336,4.701985
2006,2,529.5313,457.2976,4.49,4.68,4.67,4.5721053,4.5689474,4.56579,-.348597,1.68,.1200002,4.822774
2006,3,529.6816,457.5475,4.59,4.77,4.73,4.716087,4.723913,4.731739,-.515825,1.6,.2499998,4.93175
2006,4,530.1812,457.9338,4.79,4.9,4.89,4.9021053,4.9905263,5.078948,-.529815,1.52,.2700002,5.027798
2006,5,530.4796,457.8226,4.94,5,4.97,4.9977273,5.11,5.222273,-.400727,1.49,.2900003,5.115274
2006,6,530.7277,458.207,4.99,5.16,5.12,5.0672727,5.1063636,5.145454,-.449069,1.57,.5000001,5.325671
2006,7,531.2713,458.2554,5.24,5.22,5.12,5.04,5.0875,5.135,-.378634,1.67,.3000003,5.351861
2006,8,531.7139,458.4621,5.25,5.08,4.9,4.8221739,4.8765217,4.93087,-.423245,1.64,.25,5.250617
2006,9,531.222,458.3303,5.25,4.97,4.77,4.6675,4.719,4.7705,-.522988,1.68,.4000001,5.14015
2006,10,530.7772,458.2364,5.25,5.01,4.8,4.6866667,4.7290476,4.771429,-.540093,1.63,.27,5.135449
2006,11,530.8268,458.1201,5.25,5.01,4.74,4.582381,4.5952381,4.608095,-.52448,1.64,.23,5.100433
2006,12,531.3699,459.139,5.24,4.94,4.67,4.533,4.5645,4.596,-.661607,1.58,.3400002,5.070196
2007,1,531.5356,458.6607,5.25,5.06,4.88,4.7528571,4.7595238,4.766191,-.678331,1.46,.19,5.094819
2007,2,531.9227,459.7701,5.26,5.05,4.85,4.7105263,4.7226316,4.734737,-.735689,1.57,.1499999,5.129028
2007,3,532.4414,459.8443,5.26,4.92,4.57,4.4809091,4.5645455,4.648182,-.48584,1.6,.26,5.09655
2007,4,532.741,460.5682,5.25,4.93,4.67,4.5933333,4.6938095,4.794286,-.485028,1.49,.3300002,5.097024
2007,5,533.1534,460.6279,5.25,4.91,4.77,4.6672727,4.7463636,4.825455,-.736344,1.51,.46,5.100235
2007,6,533.3848,460.6328,5.25,4.96,4.98,5.0261905,5.1028571,5.179524,-.495324,1.56,.6199999,5.194123
2007,7,533.5627,460.6604,5.26,4.96,4.82,4.8847619,5.0042857,5.123809,-.084556,1.7,.3999999,5.223629
2007,8,533.5936,460.7866,5.02,4.47,4.31,4.4321739,4.6747826,4.917391,.082753,1.9,1.05,4.867065
2007,9,534.0164,461.2293,4.94,4.14,4.01,4.1989474,4.5215789,4.844211,-.001109,1.86,1.03,4.456094
2007,10,534.3243,460.7391,4.76,4.1,3.97,4.1981818,4.5277273,4.857273,-.081753,1.85,.7299999,4.372336
2007,11,535.1071,461.3191,4.49,3.5,3.34,3.667,4.1485,4.63,.214839,2.06,1.15,4.115704
2007,12,535.3965,461.3337,4.24,3.26,3.12,3.4875,4.0975,4.7075,.385475,2,1.23,3.841383
2008,1,535.7407,461.0136,3.94,2.71,2.48,2.9804762,3.7442857,4.508095,.67884,2.02,.5,2.81353
2008,2,535.9822,460.8174,2.98,2.05,1.97,2.779,3.7375,4.696,.848258,2.18,.6000001,2.489976
2008,3,536.3393,460.5248,2.61,1.54,1.62,2.4835,3.51,4.5365,1.091471,2.46,1.09,1.91392
2008,4,536.5705,459.7413,2.28,1.74,2.05,2.8413636,3.675,4.508636,.59478,2.24,.7,1.953101
2008,5,537.1605,459.2745,1.98,2.06,2.45,3.1533333,3.88,4.606667,.628826,2.16,.27,2.041653
2008,6,538.2029,459.0705,2,2.42,2.77,3.4852381,4.0995238,4.713809,.704856,2.22,.35,2.151957
2008,7,538.9145,458.6173,2.01,2.28,2.57,3.3031818,4.0077273,4.712273,1.056176,2.42,.55,2.163048
2008,8,538.7655,457.0016,2,2.18,2.42,3.1419048,3.8857143,4.629524,1.150368,2.59,.36,2.183863
2008,9,538.851,452.6987,1.81,1.91,2.08,2.8842857,3.6861905,4.488095,1.494335,2.35,1,2.014389
2008,10,537.9874,453.523,.97,1.42,1.61,2.7263636,3.8140909,4.901818,2.970945,2.39,1.4,1.101337
2008,11,536.201,452.3573,.39,1.07,1.21,2.2916667,3.5266667,4.761667,2.001412,2.56,1.26,.8150758
2008,12,535.3743,449.4944,.16,.49,.82,1.5218182,2.4163636,3.310909,2.23929,2.91,.94,.2141033
2009,1,535.636,447.2188,.15,.44,.81,1.5965,2.5175,3.4385,2.176283,2.54,.18,.1949247
2009,2,536.0461,446.576,.22,.62,.98,1.8715789,2.87,3.868421,2.601959,2.26,.18,.2185756
2009,3,535.905,445.028,.18,.64,.93,1.8159091,2.8195455,3.823182,2.132363,2.18,.16,.2109728
2009,4,535.9681,444.1865,.15,.55,.93,1.8580952,2.9271429,3.996191,1.926129,1.88,.12,.2281483
2009,5,536.1283,443.1611,.18,.5,.93,2.134,3.293,4.452,.983595,1.57,.05,.2478328
2009,6,536.9666,442.7922,.21,.51,1.18,2.7059091,3.7218182,4.737727,.632751,1.7,.08,.2732292
2009,7,536.9335,443.6534,.16,.48,1.02,2.4627273,3.5622727,4.661818,.07803,1.66,.1,.2978168
2009,8,537.2692,444.7011,.16,.46,1.12,2.5709524,3.5871429,4.603333,-.228104,1.6,.07,.3295024
2009,9,537.4723,445.3803,.15,.4,.96,2.3690476,3.4019048,4.434762,-.144004,1.66,.07,.3016489
2009,10,537.7507,445.6938,.12,.37,.95,2.3328571,3.387619,4.442381,-.348584,1.56,.12,.3559397
2009,11,538.0657,446.1755,.12,.31,.8,2.2305263,3.4026316,4.574737,-.151492,1.48,.1,.3575898
2009,12,538.1578,446.6409,.12,.37,.87,2.3404545,3.59,4.839545,-.569734,1.34,.11,.3946939
2010,1,538.2098,447.6927,.11,.35,.93,2.4842105,3.7331579,4.982105,-.229574,1.3,.07,.4396217
2010,2,538.1537,448.0764,.13,.35,.86,2.3636842,3.6910526,5.018421,.036577,1.3,.04,.4974932
2010,3,538.1647,448.8305,.16,.4,.96,2.4330435,3.7273913,5.021739,-.093996,1.24,.05,.4697196
2010,4,538.1191,449.1636,.2,.45,1.06,2.5813636,3.8468182,5.112273,-.227013,1.25,.07,.5582252
2010,5,538.0956,450.7286,.2,.37,.83,2.18,3.42,4.66,-.177303,1.47,.12,.4792186
2010,6,538.1412,450.9478,.18,.32,.72,1.9963636,3.2040909,4.411818,-.040396,1.54,.2,.3795163
2010,7,538.3072,451.531,.18,.29,.62,1.7628571,3.0114286,4.26,.16767,1.55,.11,.3375217
2010,8,538.4587,451.7967,.19,.26,.52,1.4654545,2.6986364,3.931818,-.489363,1.73,.09,.2839096
2010,9,538.5957,452.0515,.19,.26,.48,1.4104762,2.647619,3.884762,-.085991,1.7,.09,.2454063
2010,10,538.9053,451.7087,.19,.23,.38,1.1825,2.54,3.8975,-.035421,1.69,.1,.2360595
2010,11,539.122,451.9781,.19,.25,.45,1.35,2.763,4.176,-.155059,1.54,.09,.2312046
2010,12,539.5753,452.9611,.18,.29,.62,1.9345455,3.2909091,4.647273,-.403172,1.42,.09,.2286458
2011,1,539.8466,452.8384,.17,.27,.61,1.9945,3.394,4.7935,.081907,1.37,.09,.2480315
2011,2,540.2263,452.3687,.16,.29,.77,2.2578947,3.5763158,4.894737,-.217003,1.37,.1,.2827877
2011,3,540.7647,453.3821,.14,.26,.7,2.1134783,3.4143478,4.715218,-.250326,1.43,.13,.2923779
2011,4,541.1106,452.8035,.1,.25,.73,2.169,3.455,4.741,-.216373,1.38,.14,.3326585
2011,5,541.4976,453.1659,.09,.19,.56,1.842381,3.1685714,4.494762,-.084545,1.47,.12,.3547948
2011,6,541.6412,453.3431,.09,.18,.41,1.58,3.0022727,4.424545,.081981,1.51,.11,.3185592
2011,7,541.8737,453.9124,.07,.19,.41,1.541,3.003,4.465,-.020915,1.55,.1,.2887281
2011,8,542.1362,454.4583,.1,.11,.23,1.0213043,2.3030435,3.584783,-.250424,1.97,.14,.1441168
2011,9,542.3861,454.5649,.08,.1,.21,.90047619,1.9752381,3.05,.289268,2.13,.13,.1353397
2011,10,542.3751,455.1214,.07,.11,.28,1.0615,2.152,3.2425,-.306556,1.92,.13,.1316123
2011,11,542.5166,455.3454,.08,.11,.25,.908,2.0135,3.119,.382049,1.98,.13,.1318263
2011,12,542.5554,455.9377,.07,.12,.26,.89142857,1.9780952,3.064762,.10295,1.98,.13,.122293
2012,1,542.7612,456.6387,.08,.12,.24,.835,1.9665,3.098,.030121,1.95,.11,.120271
2012,2,543.0455,457.1274,.1,.16,.28,.831,1.9675,3.104,-.121284,1.92,.08,.1238258
2012,3,543.3503,456.5798,.13,.19,.34,1.0172727,2.1727273,3.328182,-.529989,1.78,.1,.1361039
2012,4,543.3508,457.3238,.14,.18,.29,.8947619,2.0528571,3.210952,-.367213,1.86,.12,.1347271
2012,5,543.2184,457.5785,.16,.19,.29,.76181818,1.8031818,2.844545,-.350847,2,.1,.147393
2012,6,543.339,457.6073,.16,.19,.29,.71142857,1.622381,2.533333,-.067985,2.06,.12,.1516341
